135.899,0,0
27.895,3.4188,100
10.9673,17.3913,200
8.10623,35.2941,300
7.86781,48.4848,400
9.05991,52.6316,500
8.10623,70.5882,600
61.0352,10.9375,700
25.034,30.4762,800
9.05991,94.7368,900
21.9345,43.4783,1000
18.1198,57.8947,1100
10.9673,104.348,1200
10.0136,123.81,1300
17.8814,74.6667,1400
10.9673,130.435,1500
12.1593,125.49,1600
10.9673,147.826,1700
10.9673,156.522,1800
11.2057,161.702,1900
11.9209,160,2000
12.8746,155.556,2100
17.8814,117.333,2200
12.8746,170.37,2300
10.9673,208.696,2400
13.113,181.818,2500
12.1593,203.922,2600
14.0667,183.051,2700
12.1593,219.608,2800
15.0204,184.127,2900
13.113,218.182,3000
13.113,225.455,3100
12.1593,250.98,3200
13.113,240,3300
11.9209,272,3400
15.0204,222.222,3500
11.9209,288,3600
12.8746,274.074,3700
14.0667,257.627,3800
15.0204,247.619,3900
14.0667,271.186,4000
37.1933,105.128,4100
31.9481,125.373,4200
15.974,256.716,4300
19.0735,220,4400
17.8814,240,4500
17.8814,245.333,4600
27.895,160.684,4700
15.0204,304.762,4800
15.974,292.537,4900
15.0204,317.46,5000
45.0611,107.937,5100
18.8351,263.291,5200
19.0735,265,5300
16.9277,304.225,5400
19.0735,275,5500
19.0735,280,5600
16.9277,321.127,5700
19.7887,279.518,5800
21.9345,256.522,5900
21.9345,260.87,6000
18.8351,308.861,6100
16.9277,349.296,6200
23.1266,259.794,6300
21.9345,278.261,6400
19.0735,325,6500
20.0272,314.286,6600
20.0272,319.048,6700
20.0272,323.81,6800
20.9808,313.636,6900
19.0735,350,7000
20.0272,338.095,7100
22.8882,300,7200
22.8882,304.167,7300
19.7887,356.627,7400
21.9345,326.087,7500
44.1074,164.324,7600
27.1797,270.175,7700
27.1797,273.684,7800
36.0012,209.272,7900
25.034,304.762,8000
24.7955,311.538,8100
64.1346,121.933,8200
23.8419,332,8300
21.9345,365.217,8400
36.9549,219.355,8500
20.9808,390.909,8600
22.8882,362.5,8700
20.9808,400,8800
22.8882,370.833,8900
20.9808,409.091,9000
20.9808,413.636,9100
21.9345,400,9200
20.9808,422.727,9300
20.9808,427.273,9400
23.1266,391.753,9500
20.9808,436.364,9600
23.1266,400,9700
22.8882,408.333,9800
22.8882,412.5,9900
26.9413,353.982,10000
21.9345,439.13,10100
21.9345,443.478,10200
20.9808,468.182,10300
26.9413,368.142,10400
26.9413,371.681,10500
43.1538,234.254,10600
25.9876,392.661,10700
22.8882,450,10800
30.0407,346.032,10900
23.1266,453.608,11000
21.9345,482.609,11100
27.1797,392.982,11200
26.9413,400,11300
25.034,434.286,11400
23.1266,474.227,11500
21.9345,504.348,11600
25.9876,429.358,11700
25.9876,433.028,11800
24.0803,471.287,11900
25.9876,440.367,12000
25.034,460.952,12100
21.9345,530.435,12200
21.9345,534.783,12300
21.9345,539.13,12400
24.0803,495.05,12500
50.0679,240,12600
31.9481,379.104,12700
22.8882,533.333,12800
22.8882,537.5,12900
24.0803,514.851,13000
48.1606,259.406,13100
28.1334,447.458,13200
34.0939,372.028,13300
38.8622,328.834,13400
29.0871,442.623,13500
35.0475,370.068,13600
28.8486,452.893,13700
28.8486,456.198,13800
29.0871,455.738,13900
28.1334,474.576,14000
29.0871,462.295,14100
28.8486,469.421,14200
34.8091,391.781,14300
29.0871,472.131,14400
29.8023,464,14500
27.895,499.145,14600
28.8486,485.95,14700
29.0871,485.246,14800
36.0012,394.702,14900
29.0871,491.803,15000
29.0871,495.082,15100
30.0407,482.54,15200
49.8295,292.823,15300
36.9549,397.419,15400
36.0012,410.596,15500
36.0012,413.245,15600
29.0871,514.754,15700
39.1006,385.366,15800
29.0871,521.311,15900
31.9481,477.612,16000
31.9481,480.597,16100
33.1402,466.187,16200
35.0475,443.537,16300
37.1933,420.513,16400
32.9018,478.261,16500
30.9944,510.769,16600
56.0284,284.255,16700
30.9944,516.923,16800
28.1334,572.881,16900
29.0871,557.377,17000
27.895,584.615,17100
27.895,588.034,17200
29.0871,567.213,17300
29.0871,570.492,17400
52.2137,319.635,17500
36.9549,454.194,17600
41.008,411.628,17700
34.0939,497.902,17800
36.0012,474.172,17900
37.9086,452.83,18000
36.9549,467.097,18100
36.9549,469.677,18200
36.0012,484.768,18300
36.0012,487.417,18400
37.9086,465.409,18500
37.9086,467.925,18600
36.0012,495.364,18700
37.1933,482.051,18800
35.0475,514.286,18900
34.0939,531.469,19000
37.1933,489.744,19100
35.0475,522.449,19200
36.9549,498.065,19300
34.0939,542.657,19400
33.8554,549.296,19500
35.0475,533.333,19600
41.008,458.14,19700
36.9549,510.968,19800
42.2001,449.718,19900
36.9549,516.129,20000
36.9549,518.71,20100
33.8554,569.014,20200
34.8091,556.164,20300
35.0475,555.102,20400
38.147,512.5,20500
35.0475,560.544,20600
37.9086,520.755,20700
60.7967,326.275,20800
30.9944,643.077,20900
31.9481,626.866,21000
34.0939,590.21,21100
31.9481,632.836,21200
35.0475,579.592,21300
33.8554,602.817,21400
43.869,467.391,21500
43.1538,477.348,21600
41.008,504.651,21700
35.0475,593.197,21800
41.008,509.302,21900
32.9018,637.681,22000
34.8091,605.479,22100
33.1402,638.849,22200
34.0939,623.776,22300
33.8554,630.986,22400
32.9018,652.174,22500
32.9018,655.072,22600
32.9018,657.971,22700
35.0475,620.408,22800
36.0012,606.623,22900
35.0475,625.85,23000
34.8091,632.877,23100
33.1402,667.626,23200
32.1865,690.37,23300
38.147,585,23400
36.0012,622.517,23500
47.9221,469.652,23600
46.9685,481.218,23700
